tanggal,harga_emas_pluang
2021-05-31,896029
2021-06-01,894482
2021-06-02,896732
2021-06-03,893666
2021-06-04,894654
2021-06-05,893855
2021-06-06,
2021-06-07,892740
2021-06-08,892359
2021-06-09,894341
2021-06-10,891113
2021-06-11,879898
2021-06-12,880317
2021-06-13,
2021-06-14,884174
2021-06-15,881957
2021-06-16,881959
2021-06-17,849479
2021-06-18,857848
2021-06-19,855735
2021-06-20,
2021-06-21,864744
2021-06-22,859393
2021-06-23,868890
2021-06-24,862097
2021-06-25,865225
2021-06-26,865225
2021-06-27,
2021-06-28,861615
2021-06-29,865384
2021-06-30,866254
2021-07-01,866787
2021-07-02,869839
2021-07-03,871730
2021-07-04,
2021-07-05,870835
2021-07-06,877411
2021-07-07,871685
2021-07-08,871316
2021-07-09,874733
2021-07-10,874926
2021-07-11,
2021-07-12,870366
2021-07-13,871102
2021-07-14,877539
2021-07-15,873560
2021-07-16,870210
2021-07-17,870306
2021-07-18,
2021-07-19,870344
2021-07-20,875404
2021-07-21,865416
2021-07-22,858846
2021-07-23,862481
2021-07-24,868351
2021-07-25,
2021-07-26,868866
2021-07-27,870126
2021-07-28,867818
2021-07-29,870775
2021-07-30,867169
2021-07-31,866350
2021-08-01,
2021-05-31,896029
2021-06-01,894482
2021-06-02,896732
2021-06-03,893666
2021-06-04,894654
2021-06-05,893855
2021-06-06,
2021-06-07,892740
2021-06-08,892359
2021-06-09,894341
2021-06-10,891113
2021-06-11,879898
2021-06-12,880317
2021-06-13,
2021-06-14,884174
2021-06-15,881957
2021-06-16,881959
2021-06-17,849479
2021-06-18,857848
2021-06-19,855735
2021-06-20,
2021-06-21,864744
2021-06-22,859393
2021-06-23,868890
2021-06-24,862097
2021-06-25,865225
2021-06-26,865225
2021-06-27,
2021-06-28,861615
2021-06-29,865384
2021-06-30,866254
2021-07-01,866787
2021-07-02,869839
2021-07-03,871730
2021-07-04,
2021-07-05,870835
2021-07-06,877411
2021-07-07,871685
2021-07-08,871316
2021-07-09,874733
2021-07-10,874926
2021-07-11,
2021-07-12,870366
2021-07-13,871102
2021-07-14,877539
2021-07-15,873560
2021-07-16,870210
2021-07-17,870306
2021-07-18,
2021-07-19,870344
2021-07-20,875404
2021-07-21,865416
2021-07-22,858846
2021-07-23,862481
2021-07-24,868351
2021-07-25,
2021-07-26,868866
2021-07-27,870126
2021-07-28,867818
2021-07-29,870775
2021-07-30,867169
2021-07-31,866350
2021-08-01,
2021-08-02,871022
2021-08-03,863790
2021-08-04,861197
2021-08-05,860115
2021-08-06,841219
2021-08-07,840364
2021-08-08,
2021-08-09,827004
2021-08-10,826132
2021-08-11,835180
2021-08-12,836418
2021-08-13,848183
2021-08-14,851374
2021-08-15,
2021-08-16,854330
2021-08-17,851856
2021-08-18,856584
2021-08-19,859077
2021-08-20,861492
2021-08-21,861492
2021-08-22,
2021-08-23,867418
2021-08-24,868525
2021-08-25,860646
2021-08-26,863257
2021-08-27,868527
2021-08-28,868530
2021-08-29,
2021-08-30,872748
2021-08-31,866564
2021-09-01,864627
2021-09-02,864525
2021-09-03,872771
2021-09-04,871247
2021-09-05,
2021-09-06,866764
2021-09-07,855209
2021-09-08,847329
2021-09-09,848221
2021-09-10,849824
2021-09-11,846529
2021-09-12,
2021-09-13,851455
2021-09-14,855098
2021-09-15,854086
2021-09-16,837047
2021-09-17,835803
2021-09-18,834736
2021-09-19,
2021-09-20,836753
2021-09-21,843560
2021-09-22,846125
2021-09-23,842109
2021-09-24,834113
2021-09-25,832959
2021-09-26,
2021-09-27,836132
2021-09-28,828607
2021-09-29,830243
2021-09-30,832379
2021-10-01,840786
2021-10-02,841431
2021-10-03,
2021-10-04,842040
2021-10-05,839211
2021-10-06,839967
2021-10-07,835600
2021-10-08,835720
2021-10-09,835248
2021-10-10,
2021-10-11,834939
2021-10-12,836182
2021-10-13,848744
2021-10-14,848797
2021-10-15,835201
2021-10-16,832951
2021-10-17,
2021-10-18,836242
2021-10-19,834785
2021-10-20,838938
2021-10-21,843067
2021-10-22,842545
2021-10-23,846118
2021-10-24,
2021-10-25,855345
2021-10-26,846946
2021-10-27,849553
2021-10-28,851518
2021-10-29,851436
2021-10-30,851436
2021-10-31,
2021-11-01,852534
2021-11-02,852616
2021-11-03,843064
2021-11-04,860386
2021-11-05,860530
2021-11-06,868353
2021-11-07,
2021-11-08,868183
2021-11-09,870946
2021-11-10,884178
2021-11-11,886342
2021-11-12,882433
2021-11-13,885836
2021-11-14,
2021-11-15,885820
2021-11-16,885554
2021-11-17,886924
2021-11-18,887692
2021-11-19,884477
2021-11-20,880311
2021-11-21,
2021-11-22,876272
2021-11-23,852105
2021-11-24,849652
2021-11-25,854286
2021-11-26,856120
2021-11-27,856116
2021-11-28,
2021-11-29,854522
2021-11-30,854509
2021-12-01,856547
2021-12-02,850419
2021-12-03,851087
2021-12-04,856756
2021-12-05,
2021-12-06,858244
2021-12-07,856338
2021-12-08,854117
2021-12-09,852758
2021-12-10,855761
2021-12-11,854767
2021-12-12,
2021-12-13,856009
2021-12-14,848749
2021-12-15,847284
2021-12-16,856446
2021-12-17,866456
2021-12-18,866459
2021-12-19,
2021-12-20,863554
2021-12-21,857877
2021-12-22,856222
2021-12-23,859167
2021-12-24,860311
2021-12-25,860311
2021-12-26,
2021-12-27,859578
2021-12-28,862891
2021-12-29,857276
2021-12-30,860269
2021-12-31,859460
2022-01-01,859460
2022-01-02,
2022-01-03,860407
2022-01-04,866194
2022-01-05,869848
2022-01-06,860624
2022-01-07,858792
2022-01-08,858789
2022-01-09,
2022-01-10,857824
2022-01-11,862123
2022-01-12,869225
2022-01-13,868995
2022-01-14,869367
2022-01-15,869367
2022-01-16,
2022-01-17,869575
2022-01-18,867884
2022-01-19,871757
2022-01-20,881309
2022-01-21,880799
2022-01-22,875203
2022-01-23,
2022-01-24,880554
2022-01-25,882080
2022-01-26,886358
2022-01-27,878174
2022-01-28,859314
2022-01-29,859310
2022-01-30,
2022-01-31,857874
2022-02-01,
2022-02-02,
2022-02-03,
2022-02-04,
2022-02-05,
2022-02-06,
2022-02-07,
2022-02-08,
2022-02-09,
2022-02-10,
2022-02-11,
2022-02-12,
2022-02-13,
2022-02-14,
2022-02-15,
2022-02-16,
2022-02-17,
2022-02-18,
2022-02-19,
2022-02-20,
2022-02-21,
2022-02-22,
2022-02-23,
2022-02-24,
2022-02-25,
2022-02-26,
2022-02-27,
2022-02-28,
2022-03-01,912911
2022-03-02,919538
2022-03-03,919142
2022-03-04,921037
2022-03-05,935876
2022-03-06,
2022-03-07,942123
2022-03-08,978409
2022-03-09,948019
2022-03-10,941515
2022-03-11,937935
2022-03-12,940812
2022-03-13,
2022-03-14,937104
2022-03-15,920921
2022-03-16,916984
2022-03-17,926836
2022-03-18,923161
2022-03-19,921082
2022-03-20,
2022-03-21,918876
2022-03-22,922526
2022-03-23,918315
2022-03-24,934237
2022-03-25,935298
2022-03-26,933111
2022-03-27,
2022-03-28,940870
2022-03-29,930688
2022-03-30,931272
2022-03-31,933136
2022-04-01,935028
2022-04-02,934378
2022-04-03,
2022-04-04,934820
2022-04-05,936458
2022-04-06,930319
2022-04-07,929744
2022-04-08,933201
2022-04-09,933236
2022-04-10,
2022-04-11,938390
2022-04-12,942887
2022-04-13,945872
2022-04-14,947864
2022-04-15,948254
2022-04-16,948233
2022-04-17,
2022-04-18,952185
2022-04-19,946386
2022-04-20,940487
2022-04-21,940505
2022-04-22,938767
2022-04-23,938394
2022-04-24,
2022-04-25,928345
2022-04-26,924371
2022-04-27,923982
2022-04-28,920785
2022-04-29,928303
2022-04-30,923948
2022-05-01,
2022-05-02,920977
2022-05-03,921173
2022-05-04,922068
2022-05-05,927197
2022-05-06,924982
2022-05-07,923967
2022-05-08,
2022-05-09,918811
2022-05-10,917879
2022-05-11,916307
2022-05-12,915896
2022-05-13,911924
2022-05-14,911914
2022-05-15,
2022-05-16,909180
2022-05-17,915577
2022-05-18,913705
2022-05-19,914700
2022-05-20,922914
2022-05-21,922931
2022-05-22,
2022-05-23,925331
2022-05-24,927586
2022-05-25,930320
2022-05-26,927087
2022-05-27,927843
2022-05-28,927838
2022-05-29,
2022-05-30,927208
2022-05-31,926862
2022-06-01,924211
2022-06-02,926123
2022-06-03,923884
2022-06-04,923541
2022-06-05,
2022-06-06,919407
2022-06-07,915311
2022-06-08,919931
2022-06-09,919917
2022-06-10,924111
2022-06-11,925221
2022-06-12,
2022-06-13,929816
2022-06-14,921617
2022-06-15,924076
2022-06-16,931796
2022-06-17,936695
2022-06-18,935278
2022-06-19,
2022-06-20,935920
2022-06-21,936003
2022-06-22,934288
2022-06-23,936062
2022-06-24,935358
2022-06-25,935403
2022-06-26,
2022-06-27,934341
2022-06-28,928580
2022-06-29,928127
2022-06-30,928720
2022-07-01,924041
2022-07-02,924795
2022-07-03,
2022-07-04,928500
2022-07-05,925599
2022-07-06,912750
2022-07-07,914166
2022-07-08,907087
2022-07-09,906665
2022-07-10,
2022-07-11,907216
2022-07-12,906472
2022-07-13,902853
2022-07-14,904678
2022-07-15,899817
2022-07-16,899801
2022-07-17,
2022-07-18,899919
2022-07-19,899719
2022-07-20,900041
2022-07-21,896497
2022-07-22,907308
2022-07-23,907303
2022-07-24,
2022-07-25,910341
2022-07-26,907479
2022-07-27,907562
2022-07-28,912997
2022-07-29,914661
2022-07-30,914634
2022-07-31,
2022-08-01,919074
2022-08-02,923733
2022-08-03,918156
2022-08-04,923439
2022-08-05,932046
