iter	Passed	Remaining
0	2	812
1	4	692
2	6	624
3	8	622
4	10	623
5	12	603
6	14	588
7	15	574
8	17	569
9	19	561
10	21	553
11	22	545
12	25	560
13	27	561
14	29	556
15	30	548
16	32	542
17	34	536
18	35	531
19	37	525
20	39	522
21	41	530
22	43	527
23	45	522
24	47	518
25	48	515
26	50	511
27	52	506
28	53	502
29	55	503
30	57	502
31	59	499
32	61	496
33	63	494
34	64	491
35	66	487
36	68	484
37	69	481
38	71	480
39	73	480
40	75	478
41	77	475
42	79	472
43	80	469
44	82	467
45	84	464
46	85	462
47	88	465
48	90	463
49	92	461
50	93	458
51	95	456
52	97	454
53	99	451
54	100	449
55	102	448
56	105	450
57	107	449
58	109	448
59	111	446
60	113	444
61	115	442
62	117	440
63	119	441
64	121	439
65	123	437
66	125	434
67	126	432
68	128	430
69	130	427
70	131	425
71	133	422
72	136	425
73	138	423
74	140	422
75	142	419
76	144	417
77	144	412
78	146	409
79	148	407
80	149	405
81	151	403
82	153	401
83	155	399
84	156	396
85	158	394
86	160	392
87	162	390
88	163	388
89	165	386
90	167	385
91	169	383
92	171	381
93	173	380
94	176	380
95	177	378
96	179	376
97	181	374
98	183	373
99	185	371
100	187	369
101	189	367
102	190	364
103	192	362
104	194	360
105	195	358
106	197	356
107	200	357
108	202	355
109	204	353
110	206	351
111	208	349
112	209	347
113	211	345
114	213	343
115	215	341
116	217	339
117	219	337
118	220	335
119	222	333
120	224	331
121	225	329
122	227	327
123	229	326
124	232	325
125	234	323
126	235	321
127	237	319
128	239	317
129	240	315
130	242	312
131	244	311
132	246	309
133	248	307
134	250	306
135	252	304
136	253	302
137	255	300
138	257	298
139	259	296
140	261	294
141	263	293
142	265	291
143	267	289
144	269	287
145	270	285
146	272	283
147	274	281
148	276	279
149	278	278
150	280	276
151	282	274
152	283	272
153	285	270
154	287	269
155	289	267
156	294	267
157	296	266
158	297	264
159	299	262
160	301	260
161	302	257
162	304	255
163	306	253
164	307	251
165	310	250
166	311	248
167	313	246
168	315	244
169	317	242
170	318	240
171	320	238
172	321	236
173	324	234
174	326	233
175	328	231
176	330	229
177	331	227
178	333	225
179	335	223
180	337	221
181	339	219
182	341	218
183	343	216
184	345	214
185	347	212
186	349	210
187	350	209
188	352	207
189	356	206
190	358	204
191	360	202
192	362	200
193	364	198
194	366	197
195	367	195
196	369	193
197	373	192
198	375	190
199	377	188
200	378	186
201	380	184
202	382	182
203	384	181
204	388	180
205	392	179
206	394	177
207	396	175
208	398	173
209	400	171
210	402	169
211	405	168
212	406	166
213	408	164
214	410	162
215	411	160
216	413	158
217	415	156
218	417	154
219	419	152
220	421	150
221	423	148
222	424	146
223	426	144
224	428	142
225	429	140
226	431	138
227	433	136
228	436	135
229	437	133
230	439	131
231	441	129
232	443	127
233	444	125
234	446	123
235	448	121
236	449	119
237	452	117
238	454	115
239	455	113
240	457	112
241	459	110
242	460	108
243	462	106
244	464	104
245	466	102
246	468	100
247	470	98
248	471	96
249	473	94
250	474	92
251	476	90
252	478	88
253	479	86
254	482	85
255	484	83
256	486	81
257	488	79
258	489	77
259	491	75
260	492	73
261	494	71
262	496	69
263	498	67
264	500	66
265	502	64
266	503	62
267	505	60
268	507	58
269	508	56
270	510	54
271	511	52
272	514	50
273	515	48
274	517	47
275	518	45
276	520	43
277	521	41
278	523	39
279	525	37
280	526	35
281	528	33
282	531	31
283	532	30
284	534	28
285	536	26
286	537	24
287	539	22
288	540	20
289	542	18
290	545	16
291	547	14
292	548	13
293	550	11
294	552	9
295	553	7
296	555	5
297	556	3
298	558	1
299	560	0
