Date,Forecast_Price
2026-05-29,6360.4287
2026-05-30,6555.3145
2026-05-31,6422.5054
2026-06-01,6340.619
2026-06-02,6361.324
2026-06-03,6381.5166
2026-06-04,6364.4067
2026-06-05,6278.5435
2026-06-06,6305.662
2026-06-07,6332.902
2026-06-08,6333.8247
2026-06-09,6320.6353
2026-06-10,6317.3496
2026-06-11,6342.2744
2026-06-12,6337.4937
2026-06-13,6351.458
2026-06-14,6340.633
2026-06-15,6345.4717
2026-06-16,6361.6777
2026-06-17,6358.175
2026-06-18,6360.708
2026-06-19,6359.5483
2026-06-20,6360.8867
2026-06-21,6340.7393
2026-06-22,6333.401
2026-06-23,6339.091
2026-06-24,6339.091
2026-06-25,6528.7114
2026-06-26,6423.597
2026-06-27,6405.2974
2026-06-28,6384.02
2026-06-29,6582.422
2026-06-30,6644.9136
2026-07-01,6816.721
2026-07-02,6786.3804
2026-07-03,6866.258
2026-07-04,6873.3955
2026-07-05,6870.937
2026-07-06,6872.3735
2026-07-07,6871.8584
2026-07-08,6868.466
2026-07-09,6873.8438
2026-07-10,6873.8096
2026-07-11,6884.137
2026-07-12,6884.137
2026-07-13,6903.974
2026-07-14,6912.0645
2026-07-15,6907.291
2026-07-16,6912.8564
2026-07-17,6911.6562
2026-07-18,6914.6694
2026-07-19,6914.6694
2026-07-20,6919.7305
2026-07-21,7012.651
2026-07-22,7081.7554
2026-07-23,7077.965
2026-07-24,7037.143
2026-07-25,7132.77
2026-07-26,7209.6
2026-07-27,7183.4834
2026-07-28,7270.1724
2026-07-29,7316.3125
2026-07-30,7305.6846
2026-07-31,7305.087
2026-08-01,7332.445
2026-08-02,7341.3965
2026-08-03,7359.506
2026-08-04,7349.07
2026-08-05,7344.2964
2026-08-06,7344.2964
2026-08-07,7341.0503
2026-08-08,7341.0503
2026-08-09,7341.0503
2026-08-10,7341.0503
2026-08-11,7341.0503
2026-08-12,7341.0503
2026-08-13,7341.0503
2026-08-14,7341.0503
2026-08-15,7341.0503
2026-08-16,7346.6157
2026-08-17,7347.953
2026-08-18,7354.472
2026-08-19,7354.472
2026-08-20,7356.97
2026-08-21,7356.97
2026-08-22,7356.97
2026-08-23,7356.97
2026-08-24,7356.97
2026-08-25,7356.97
2026-08-26,7379.945
