Date,Forecast_Price
2026-05-29,3826.051
2026-05-30,3824.5256
2026-05-31,3784.2244
2026-06-01,3760.139
2026-06-02,3818.6367
2026-06-03,3855.816
2026-06-04,3856.6843
2026-06-05,3819.7002
2026-06-06,3828.6663
2026-06-07,3831.727
2026-06-08,3822.4617
2026-06-09,3824.3806
2026-06-10,3827.2769
2026-06-11,3828.3027
2026-06-12,3807.4292
2026-06-13,3818.8127
2026-06-14,3846.0518
2026-06-15,3847.7412
2026-06-16,3819.3867
2026-06-17,3814.635
2026-06-18,3818.298
2026-06-19,3818.298
2026-06-20,3817.272
2026-06-21,3817.272
2026-06-22,3817.272
2026-06-23,3817.272
2026-06-24,3817.272
2026-06-25,3818.298
2026-06-26,3817.272
2026-06-27,3817.272
2026-06-28,3815.581
2026-06-29,3814.53
2026-06-30,3807.8809
2026-07-01,3807.8809
2026-07-02,3808.357
2026-07-03,3808.357
2026-07-04,3816.0571
2026-07-05,3816.0571
2026-07-06,3816.0571
2026-07-07,3816.0571
2026-07-08,3826.8423
2026-07-09,3847.5117
2026-07-10,3874.0415
2026-07-11,3869.2363
2026-07-12,3901.7788
2026-07-13,3944.0518
2026-07-14,3997.2915
2026-07-15,4032.016
2026-07-16,4019.7407
2026-07-17,4048.3628
2026-07-18,4094.8384
2026-07-19,4107.4463
2026-07-20,4190.02
2026-07-21,4212.046
2026-07-22,4215.2637
2026-07-23,4187.923
2026-07-24,4220.193
2026-07-25,4222.235
2026-07-26,4228.4756
2026-07-27,4243.3154
2026-07-28,4271.124
2026-07-29,4284.657
2026-07-30,4275.616
2026-07-31,4251.6733
2026-08-01,4224.5806
2026-08-02,4237.6606
2026-08-03,4257.3477
2026-08-04,4274.496
2026-08-05,4272.144
2026-08-06,4225.624
2026-08-07,4212.951
2026-08-08,4224.9946
2026-08-09,4214.824
2026-08-10,4228.965
2026-08-11,4234.908
2026-08-12,4252.679
2026-08-13,4308.6733
2026-08-14,4329.1577
2026-08-15,4305.0605
2026-08-16,4327.894
2026-08-17,4341.0527
2026-08-18,4395.081
2026-08-19,4416.836
2026-08-20,4410.215
2026-08-21,4391.867
2026-08-22,4399.6987
2026-08-23,4395.9556
2026-08-24,4377.3164
2026-08-25,4376.244
2026-08-26,4376.244
