Date,Forecast_Price
2026-05-29,4184.312
2026-05-30,4228.158
2026-05-31,4202.9087
2026-06-01,4188.819
2026-06-02,4194.844
2026-06-03,4195.543
2026-06-04,4191.2876
2026-06-05,4189.218
2026-06-06,4192.194
2026-06-07,4192.194
2026-06-08,4192.194
2026-06-09,4191.572
2026-06-10,4191.572
2026-06-11,4191.572
2026-06-12,4191.572
2026-06-13,4191.572
2026-06-14,4191.572
2026-06-15,4191.572
2026-06-16,4192.194
2026-06-17,4192.194
2026-06-18,4192.194
2026-06-19,4192.194
2026-06-20,4192.194
2026-06-21,4192.194
2026-06-22,4192.194
2026-06-23,4192.194
2026-06-24,4192.194
2026-06-25,4192.194
2026-06-26,4192.194
2026-06-27,4192.194
2026-06-28,4192.194
2026-06-29,4192.194
2026-06-30,4191.77
2026-07-01,4190.929
2026-07-02,4191.876
2026-07-03,4191.035
2026-07-04,4192.5645
2026-07-05,4192.5645
2026-07-06,4192.5645
2026-07-07,4191.9424
2026-07-08,4191.9424
2026-07-09,4191.9424
2026-07-10,4192.5645
2026-07-11,4191.9424
2026-07-12,4191.9424
2026-07-13,4191.9424
2026-07-14,4192.5645
2026-07-15,4191.9424
2026-07-16,4191.9424
2026-07-17,4191.9424
2026-07-18,4191.9424
2026-07-19,4191.9424
2026-07-20,4191.9424
2026-07-21,4191.9424
2026-07-22,4191.9424
2026-07-23,4191.9424
2026-07-24,4191.9424
2026-07-25,4191.9424
2026-07-26,4191.9424
2026-07-27,4191.9424
2026-07-28,4191.9424
2026-07-29,4191.9424
2026-07-30,4191.9424
2026-07-31,4191.9424
2026-08-01,4191.9424
2026-08-02,4191.9424
2026-08-03,4191.9424
2026-08-04,4191.9424
2026-08-05,4191.9424
2026-08-06,4191.9424
2026-08-07,4191.9424
2026-08-08,4191.9424
2026-08-09,4191.9424
2026-08-10,4191.9424
2026-08-11,4191.9424
2026-08-12,4191.9424
2026-08-13,4191.9424
2026-08-14,4191.9424
2026-08-15,4191.9424
2026-08-16,4191.9424
2026-08-17,4191.9424
2026-08-18,4191.9424
2026-08-19,4191.9424
2026-08-20,4191.9424
2026-08-21,4191.9424
2026-08-22,4191.9424
2026-08-23,4191.9424
2026-08-24,4191.9424
2026-08-25,4191.9424
2026-08-26,4191.9424
