Date,Forecast_Price
2026-05-29,7181.6025
2026-05-30,7289.9326
2026-05-31,7214.258
2026-06-01,7173.179
2026-06-02,7223.1294
2026-06-03,7223.415
2026-06-04,7200.4517
2026-06-05,7192.6924
2026-06-06,7194.3535
2026-06-07,7202.301
2026-06-08,7203.9805
2026-06-09,7206.0327
2026-06-10,7222.2554
2026-06-11,7217.344
2026-06-12,7219.6094
2026-06-13,7212.659
2026-06-14,7212.659
2026-06-15,7212.659
2026-06-16,7224.303
2026-06-17,7225.406
2026-06-18,7225.406
2026-06-19,7225.406
2026-06-20,7224.303
2026-06-21,7224.303
2026-06-22,7224.303
2026-06-23,7224.303
2026-06-24,7224.303
2026-06-25,7211.5566
2026-06-26,7229.245
2026-06-27,7225.127
2026-06-28,7229.245
2026-06-29,7216.4985
2026-06-30,7216.4985
2026-07-01,7216.4985
2026-07-02,7219.1445
2026-07-03,7219.1445
2026-07-04,7219.1445
2026-07-05,7222.1353
2026-07-06,7222.1353
2026-07-07,7218.257
2026-07-08,7222.1353
2026-07-09,7222.1353
2026-07-10,7222.1353
2026-07-11,7222.1353
2026-07-12,7215.611
2026-07-13,7212.62
2026-07-14,7216.4985
2026-07-15,7216.4985
2026-07-16,7215.611
2026-07-17,7219.4893
2026-07-18,7219.4893
2026-07-19,7219.4893
2026-07-20,7219.4893
2026-07-21,7219.4893
2026-07-22,7219.4893
2026-07-23,7219.4893
2026-07-24,7219.4893
2026-07-25,7216.4985
2026-07-26,7219.4893
2026-07-27,7219.4893
2026-07-28,7219.4893
2026-07-29,7216.4985
2026-07-30,7216.4985
2026-07-31,7212.62
2026-08-01,7212.62
2026-08-02,7215.266
2026-08-03,7215.266
2026-08-04,7213.169
2026-08-05,7215.266
2026-08-06,7215.266
2026-08-07,7213.169
2026-08-08,7213.169
2026-08-09,7213.169
2026-08-10,7213.169
2026-08-11,7213.169
2026-08-12,7210.523
2026-08-13,7212.62
2026-08-14,7212.62
2026-08-15,7212.62
2026-08-16,7212.62
2026-08-17,7212.62
2026-08-18,7212.62
2026-08-19,7212.62
2026-08-20,7212.62
2026-08-21,7212.62
2026-08-22,7212.62
2026-08-23,7210.523
2026-08-24,7210.523
2026-08-25,7210.523
2026-08-26,7210.523
