Date,Forecast_Price
2026-05-29,3017.5156
2026-05-30,2981.4863
2026-05-31,2903.0962
2026-06-01,2867.2217
2026-06-02,2821.4602
2026-06-03,2799.3127
2026-06-04,2766.7178
2026-06-05,2745.3506
2026-06-06,2714.4558
2026-06-07,2698.5178
2026-06-08,2701.4175
2026-06-09,2708.971
2026-06-10,2726.965
2026-06-11,2767.348
2026-06-12,2791.9072
2026-06-13,2809.3037
2026-06-14,2808.619
2026-06-15,2801.9238
2026-06-16,2798.609
2026-06-17,2793.4756
2026-06-18,2809.8557
2026-06-19,2825.7693
2026-06-20,2846.452
2026-06-21,2854.4675
2026-06-22,2874.627
2026-06-23,2882.054
2026-06-24,2867.2378
2026-06-25,2817.055
2026-06-26,2800.8499
2026-06-27,2785.704
2026-06-28,2777.0728
2026-06-29,2803.7917
2026-06-30,2807.1497
2026-07-01,2818.5474
2026-07-02,2829.6333
2026-07-03,2839.8591
2026-07-04,2836.284
2026-07-05,2845.1458
2026-07-06,2850.627
2026-07-07,2851.5837
2026-07-08,2853.279
2026-07-09,2855.2803
2026-07-10,2854.605
2026-07-11,2855.2803
2026-07-12,2854.62
2026-07-13,2854.62
2026-07-14,2857.2922
2026-07-15,2857.0056
2026-07-16,2854.3184
2026-07-17,2854.3184
2026-07-18,2854.3184
2026-07-19,2853.8787
2026-07-20,2853.592
2026-07-21,2857.0056
2026-07-22,2855.306
2026-07-23,2856.018
2026-07-24,2856.018
2026-07-25,2856.018
2026-07-26,2856.018
2026-07-27,2853.592
2026-07-28,2855.306
2026-07-29,2854.5796
2026-07-30,2854.3184
2026-07-31,2854.3184
2026-08-01,2854.3184
2026-08-02,2849.7542
2026-08-03,2854.3184
2026-08-04,2850.1274
2026-08-05,2850.1274
2026-08-06,2849.14
2026-08-07,2848.6953
2026-08-08,2848.6953
2026-08-09,2849.14
2026-08-10,2849.14
2026-08-11,2850.1274
2026-08-12,2855.306
2026-08-13,2854.3184
2026-08-14,2854.3184
2026-08-15,2854.3184
2026-08-16,2854.3184
2026-08-17,2854.605
2026-08-18,2855.306
2026-08-19,2855.306
2026-08-20,2854.3184
2026-08-21,2854.3184
2026-08-22,2854.3184
2026-08-23,2854.3184
2026-08-24,2854.3184
2026-08-25,2855.306
2026-08-26,2855.306
