Date,ADRO,ANTM,ASII,BBCA,BBNI,BBRI,BMRI,CUAN,EMAS,ICBP,INCO,ISAT,MEDC,MYOR,PTBA,TLKM
2026-06-01,2181.47,2839.86,5066.47,6340.62,3760.14,3091.67,4188.82,637.03,2383400.5,7173.18,4621.31,2148.9,1195.71,1875.84,2721.27,2867.22
2026-06-02,2147.22,2833.49,5063.82,6361.32,3818.64,3092.96,4194.84,636.93,2358260.0,7223.13,4612.02,2135.46,1192.61,1876.08,2715.14,2821.46
2026-06-03,2136.06,2822.01,5068.25,6381.52,3855.82,3089.12,4195.54,637.01,2328596.25,7223.42,4611.3,2135.37,1185.42,1873.75,2707.27,2799.31
2026-06-04,2122.34,2814.74,5054.74,6364.41,3856.68,3096.19,4191.29,637.07,2305850.75,7200.45,4607.67,2135.07,1184.58,1865.94,2702.37,2766.72
2026-06-05,2110.75,2812.31,5021.87,6278.54,3819.7,3102.4,4189.22,637.07,2276333.5,7192.69,4609.91,2135.02,1175.83,1859.13,2694.52,2745.35
2026-06-08,2114.53,2819.55,4992.2,6333.82,3822.46,3114.54,4192.19,637.07,2261715.75,7203.98,4607.55,2117.78,1171.01,1861.83,2688.21,2701.42
2026-06-09,2116.47,2824.78,4997.75,6320.64,3824.38,3115.61,4191.57,636.29,2235495.75,7206.03,4607.32,2123.33,1171.45,1860.43,2707.34,2708.97
2026-06-10,2131.06,2819.94,4968.86,6317.35,3827.28,3114.32,4191.57,636.89,2222373.75,7222.26,4607.32,2123.46,1161.09,1857.67,2681.17,2726.97
2026-06-11,2132.39,2831.67,4968.05,6342.27,3828.3,3115.98,4191.57,636.39,2210847.5,7217.34,4607.8,2131.17,1165.05,1857.26,2694.01,2767.35
2026-06-12,2086.98,2797.91,4973.85,6337.49,3807.43,3113.16,4191.57,636.39,2201082.5,7219.61,4611.76,2141.52,1158.66,1857.84,2693.6,2791.91
2026-06-15,2086.52,2798.67,4935.37,6345.47,3847.74,3113.01,4191.57,638.81,2194589.0,7212.66,4611.76,2119.87,1159.17,1858.75,2666.48,2801.92
2026-06-16,2076.58,2801.76,4969.65,6361.68,3819.39,3112.43,4192.19,638.81,2177992.5,7224.3,4611.76,2113.98,1160.88,1859.08,2639.96,2798.61
2026-06-17,2066.16,2802.88,4981.33,6358.17,3814.64,3109.91,4192.19,638.99,2167602.5,7225.41,4611.76,2105.23,1160.4,1856.62,2633.09,2793.48
2026-06-18,2058.11,2804.37,4988.95,6360.71,3818.3,3110.58,4192.19,638.99,2161183.75,7225.41,4602.04,2105.0,1162.74,1858.34,2631.69,2809.86
2026-06-19,2054.64,2814.5,5010.22,6359.55,3818.3,3112.52,4192.19,637.64,2157191.25,7225.41,4601.47,2097.26,1166.54,1858.78,2631.52,2825.77
